"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS service","Wed Aug 27 09:32:46 GMT 2025","passed","Wed Aug 27 09:32:46 GMT 2025","Get entity","Users","",""
"","20","Create exercise","LMS service","Wed Aug 27 09:32:41 GMT 2025","passed","Wed Aug 27 09:32:41 GMT 2025","Create entity","Exercises","",""
"","265","Create file with empty filename","LMS service","Wed Aug 27 09:32:44 GMT 2025","passed","Wed Aug 27 09:32:44 GMT 2025","Validate entity","Files","",""
"","31","Get courses","LMS service","Wed Aug 27 09:32:39 GMT 2025","passed","Wed Aug 27 09:32:39 GMT 2025","Get entities","Courses","",""
"","21","Delete file","LMS service","Wed Aug 27 09:32:45 GMT 2025","passed","Wed Aug 27 09:32:45 GMT 2025","Delete entity","Files","",""
"","264","Create file","LMS service","Wed Aug 27 09:32:43 GMT 2025","passed","Wed Aug 27 09:32:43 GMT 2025","Create entity","Files","",""
"","29","Create course","LMS service","Wed Aug 27 09:32:39 GMT 2025","passed","Wed Aug 27 09:32:39 GMT 2025","Create entity","Courses","",""
"","532","Create user","LMS service","Wed Aug 27 09:32:44 GMT 2025","passed","Wed Aug 27 09:32:45 GMT 2025","Create entity","Users","",""
"","20","Get exercise","LMS service","Wed Aug 27 09:32:42 GMT 2025","passed","Wed Aug 27 09:32:42 GMT 2025","Get entity","Exercises","",""
"","301","Update course","LMS service","Wed Aug 27 09:32:39 GMT 2025","passed","Wed Aug 27 09:32:39 GMT 2025","Update entity","Courses","",""
"","532","Create user","LMS service","Wed Aug 27 09:32:45 GMT 2025","passed","Wed Aug 27 09:32:45 GMT 2025","Create entity","Users","",""
"","21","Update exercise","LMS service","Wed Aug 27 09:32:41 GMT 2025","passed","Wed Aug 27 09:32:41 GMT 2025","Update entity","Exercises","",""
"","542","Create user","LMS service","Wed Aug 27 09:32:45 GMT 2025","passed","Wed Aug 27 09:32:46 GMT 2025","Create entity","Users","",""
"","15","Get file with incorrect file id","LMS service","Wed Aug 27 09:32:44 GMT 2025","passed","Wed Aug 27 09:32:44 GMT 2025","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Wed Aug 27 09:32:42 GMT 2025","passed","Wed Aug 27 09:32:42 GMT 2025","Delete entity","Exercises","",""
"","14","Get file","LMS service","Wed Aug 27 09:32:43 GMT 2025","passed","Wed Aug 27 09:32:43 GMT 2025","Get entity","Files","",""
"","285","Login with correct email and password","LMS service","Wed Aug 27 09:32:38 GMT 2025","passed","Wed Aug 27 09:32:38 GMT 2025","Login","Authentication","",""
